cpus=28
     hello.1.out-987225 [008] 692035.904489: funcgraph_entry:        2.859 us   |  mutex_unlock();
     hello.1.out-987225 [008] 692035.907439: funcgraph_entry:        0.376 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907443: funcgraph_entry:        0.739 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907444: funcgraph_entry:      + 11.325 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907456: funcgraph_entry:        0.318 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907457: funcgraph_entry:        0.311 us   |  up_read();
     hello.1.out-987225 [008] 692035.907457: funcgraph_entry:        0.282 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907458: funcgraph_entry:        0.278 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907459: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907460: sys_enter_newfstat:   fd: 0x00000001, statbuf: 0x7ffee2608be0
     hello.1.out-987225 [008] 692035.907460: funcgraph_exit:         0.710 us   |  }
     hello.1.out-987225 [008] 692035.907460: funcgraph_entry:        3.366 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907464: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907464: sys_exit_newfstat:    0x0
     hello.1.out-987225 [008] 692035.907464: funcgraph_exit:         0.636 us   |  }
     hello.1.out-987225 [008] 692035.907465: funcgraph_entry:        0.272 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907467: funcgraph_entry:        0.734 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907468: funcgraph_entry:      + 10.955 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907479: funcgraph_entry:        0.648 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907480: funcgraph_entry:        0.348 us   |  up_read();
     hello.1.out-987225 [008] 692035.907481: funcgraph_entry:        0.289 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907481: funcgraph_entry:        0.283 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907482: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907483: sys_enter_getrandom:  ubuf: 0x784c5340a178, len: 0x00000008, flags: 0x00000001
     hello.1.out-987225 [008] 692035.907483: funcgraph_exit:         0.853 us   |  }
     hello.1.out-987225 [008] 692035.907484: funcgraph_entry:        2.286 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907486: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907486: sys_exit_getrandom:   0x8
     hello.1.out-987225 [008] 692035.907487: funcgraph_exit:         0.788 us   |  }
     hello.1.out-987225 [008] 692035.907487: funcgraph_entry:        0.264 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907490: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907490: sys_enter_brk:        brk: 0x00000000
     hello.1.out-987225 [008] 692035.907491: funcgraph_exit:         0.620 us   |  }
     hello.1.out-987225 [008] 692035.907491: funcgraph_entry:        0.858 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907492: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907492: sys_exit_brk:         0x604a45c82000
     hello.1.out-987225 [008] 692035.907493: funcgraph_exit:         0.603 us   |  }
     hello.1.out-987225 [008] 692035.907493: funcgraph_entry:        0.277 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907494: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907494: sys_enter_brk:        brk: 0x604a45ca3000
     hello.1.out-987225 [008] 692035.907494: funcgraph_exit:         0.597 us   |  }
     hello.1.out-987225 [008] 692035.907495: funcgraph_entry:        6.859 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907502: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907502: sys_exit_brk:         0x604a45ca3000
     hello.1.out-987225 [008] 692035.907502: funcgraph_exit:         0.659 us   |  }
     hello.1.out-987225 [008] 692035.907503: funcgraph_entry:        0.273 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907505: funcgraph_entry:        0.647 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907506: funcgraph_entry:      + 16.382 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907522: funcgraph_entry:        0.357 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907523: funcgraph_entry:        0.330 us   |  up_read();
     hello.1.out-987225 [008] 692035.907524: funcgraph_entry:        0.294 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907524: funcgraph_entry:        0.292 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907527: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907527: sys_enter_write:      fd: 0x00000001, buf: 0x604a45c822a0, count: 0x0000001c
     hello.1.out-987225 [008] 692035.907528: funcgraph_exit:         0.699 us   |  }
     hello.1.out-987225 [008] 692035.907528: funcgraph_entry:      + 22.049 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.907550: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.907551: sys_exit_write:       0x1c
     hello.1.out-987225 [008] 692035.907551: funcgraph_exit:         0.702 us   |  }
     hello.1.out-987225 [008] 692035.907551: funcgraph_entry:        0.316 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907557: funcgraph_entry:        0.830 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907558: funcgraph_entry:      + 11.465 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907570: funcgraph_entry:        0.322 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907570: funcgraph_entry:        0.332 us   |  up_read();
     hello.1.out-987225 [008] 692035.907571: funcgraph_entry:        0.300 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907572: funcgraph_entry:        0.290 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907574: funcgraph_entry:        0.686 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907575: funcgraph_entry:        8.516 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907584: funcgraph_entry:        0.299 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907585: funcgraph_entry:        0.322 us   |  up_read();
     hello.1.out-987225 [008] 692035.907586: funcgraph_entry:        0.296 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907586: funcgraph_entry:        0.281 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907590: funcgraph_entry:        0.759 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.907591: funcgraph_entry:      + 11.309 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.907603: funcgraph_entry:        0.347 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.907603: funcgraph_entry:        0.347 us   |  up_read();
     hello.1.out-987225 [008] 692035.907604: funcgraph_entry:        0.296 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.907605: funcgraph_entry:        0.284 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.907606: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.907606: sys_enter_exit_group: error_code: 0x00000000
     hello.1.out-987225 [008] 692035.907606: funcgraph_exit:         0.788 us   |  }
     hello.1.out-987225 [008] 692035.907607: funcgraph_entry:                   |  x64_sys_call() {
